t,s,r,p
0.0,49994.99950000015,0.010499999999999999,89.6
0.1,52489.49947510517,0.011549947494750001,94.22110195020001
0.2,55108.4625002758,0.012678584613976106,99.07217169011969
0.30000000000000004,57858.0986580882,0.013891152700927807,104.16468586838668
0.4,60744.92788312348,0.015193220371884125,109.51069375125871
0.5,63775.795422030176,0.016590703133251127,115.12284579341278
0.6,66957.88806496652,0.018089884141845,121.01442363427333
0.7,70298.75118691019,0.019697436173619402,127.19937159100691
0.7999999999999999,73806.30663924418,0.02142044486976293,133.69232972285914
0.8999999999999999,77488.87153404306,0.023266433332963136,140.50866854523645
0.9999999999999999,81355.177965601,0.025243388150718745,147.66452547584618
1.0999999999999999,85414.3937159653,0.02735978692689349,155.17684309931664
1.2,89676.14399357226,0.029624627407255803,163.0634093410295
1.3,94150.53425653203,0.0320474582895511,171.34289964542518
1.4000000000000001,98848.17417468109,0.03463841181372224,180.03492125879407
1.5000000000000002,103780.20278722099,0.037408238233242505,189.1600597215571
1.6000000000000003,108958.31491559724,0.040368342274170445,198.73992768027807
1.7000000000000004,114394.78889424866,0.04353082169449273,208.79721613515045
1.8000000000000005,120102.51568498192,0.04690850806260698,219.355748244477
1.9000000000000006,126095.02944400767,0.05051500988042963,230.4405358137233
2.0000000000000004,132386.5396141186,0.05436475818361319,242.07783860309158
2.1000000000000005,138991.9646181064,0.05847305475874209,254.29522659424543
2.2000000000000006,145926.96723331118,0.06285612312516932,267.1216453638318
2.3000000000000007,153207.9917311841,0.06753116243737754,280.5874847188143
2.400000000000001,160852.3028699276,0.07251640447242386,294.724650756365
2.500000000000001,168878.02683267347,0.07783117387617929,309.5666415191844
2.600000000000001,177304.19420827043,0.08349595185173132,325.1486264256419
2.700000000000001,186150.78511659804,0.08953244348350474,341.50752966308306
2.800000000000001,195438.77658540744,0.09596364890140427,358.6821177420439
2.9000000000000012,205190.1922910292,0.10281393850062126,376.7130914189823
3.0000000000000013,215428.1547808931,0.11010913244470813,395.64318220549285
3.1000000000000014,226176.94030169013,0.1178765846921429,415.5172536928479
3.2000000000000015,237462.0363631851,0.12614527179991777,436.3824079321248
3.3000000000000016,249310.20217417483,0.1349458867717271,458.2880971221696
3.4000000000000017,261749.5320938982,0.14431093823314228,481.2862408702287
3.5000000000000018,274809.5222493531,0.15427485523178536,505.4313493033
3.600000000000002,288521.14047648455,0.16487409797699282,530.7806523221223
3.700000000000002,302916.8997510868,0.17614727485084553,557.3942353042917
3.800000000000002,318030.93528353976,0.18813526604077424,585.3351815782827
3.900000000000002,333899.08546018717,0.20088135416329012,614.6697220062101
4.000000000000002,350558.97682328284,0.2144313622687866,645.4673920300198
4.100000000000001,368050.11329101125,0.22883379963887038,677.8011965534987
4.200000000000001,386413.96982914,0.2441400158103695,711.7477830510695
4.300000000000001,405694.09079641826,0.26040436328409394,747.3876233138475
4.4,425936.19319691753,0.27768436940166097,784.8052042639154
4.5,447188.27508414775,0.2960409179003117,824.0892282892727
4.6,469500.72937399446,0.31553844068371084,865.3328235744966
4.699999999999999,492926.46333635226,0.33624512037632337,908.6337649258485
4.799999999999999,517521.0240487916,0.35823310426017124,954.0947056144458
4.899999999999999,543342.7301097354,0.38157873022569205,1001.8234207872476
4.999999999999998,570452.809923462,0.4063627654031289,1051.9330630230281
5.099999999999998,598915.5468848386,0.4326706581774816,1104.542430639313
5.1999999999999975,628798.4318080443,0.46059280432864647,1159.7762493864857
5.299999999999997,660172.3229607232,0.4902248280790633,1217.7654681970212
5.399999999999997,693111.614083039,0.521667878874104,1278.647569691121
5.4999999999999964,727694.4107900403,0.5550289447656811,1342.566896175027
5.599999999999996,764002.7157756181,0.5904211833172605,1409.674991905015
5.699999999999996,802122.623257214,0.6279642709987675,1480.1309624286466
5.799999999999995,842144.5231223451,0.6677847720929067,1554.1018518553506
5.899999999999995,884163.3152610171,0.7100165281903366,1631.7630389509147
5.999999999999995,928278.6345922508,0.7548010694100942,1713.2986529951083
6.099999999999994,974595.0873183056,0.8022880485438175,1798.902010388516
6.199999999999994,1023222.4989668042,0.8526356993878506,1888.776073043865
6.299999999999994,1074276.1748089169,0.9060113205963944,1983.1339296487834
6.399999999999993,1127877.173271108,0.9625917864617077,2082.1993009411563
6.499999999999993,1184152.5929887597,1.0225640861041398,2186.2070701951943
6.5999999999999925,1243235.8741823316,1.086125892635729,2295.403840176094
6.699999999999992,1305267.1150706825,1.15348616394643,2410.04851788395
6.799999999999992,1370393.4040718295,1.2248657768519937,2530.412928473454
6.8999999999999915,1438769.1685788627,1.3004981964373477,2656.7824598051143
6.999999999999991,1510556.541138029,1.380630182529293,2789.4567391563482
7.099999999999991,1585925.7438972674,1.465522535337707,2928.7503436970705
7.19999999999999,1665055.4922368012,1.5554508824155135,3074.9935464144505
7.29999999999999,1748133.4185388738,1.650706509204776,3228.5330992555782
7.39999999999999,1835356.51710147,1.751597235559673,3389.733055345028
7.499999999999989,1926931.6112510043,1.858448340767222,3558.975632226954
7.599999999999989,2023075.843761591,1.971603539723719,3736.6621181786463
7.699999999999989,2124017.1917437795,2.091426013069402,3923.213823744586
7.799999999999988,2229995.0072236545,2.218299494236182,4119.073080747288
7.899999999999988,2341260.5846941313,2.3526294165238397,4324.704291143775
7.999999999999988,2458077.7569842087,2.4948441234893206,4540.595028214735
8.099999999999987,2580723.52085912,2.645396146112121,4767.257192697503
8.199999999999987,2709488.693834789,2.8047635503867476,5005.228226604282
8.299999999999986,2844678.6037640446,2.9734513591913507,5255.07238760381
8.399999999999986,2986613.8128297264,3.151993052490441,5517.382086988293
8.499999999999986,3135630.87766142,3.3409521501496755,5792.77929439818
8.599999999999985,3292083.147378212,3.5409238818726045,6081.917012635666
8.699999999999985,3456341.6014497746,3.752536949013706,6385.480826063993
8.799999999999985,3628795.729362524,3.976455383279614,6704.190526264135
8.899999999999984,3809854.4541767123,4.213380507601901,7038.801818803586
8.999999999999984,3999947.1021643872,4.464053004750851,7390.108115164372
9.099999999999984,4199524.420827435,4.72925509956112,7758.942414079288
9.199999999999983,4409059.647709615,5.009812860957863,8146.179276737384
9.299999999999983,4629049.63253696,5.306598630306707,8552.736900542312
9.399999999999983,4860016.01534737,5.620533582963681,8979.579296340824
9.499999999999982,5102506.463402959,5.952590430273013,9427.71857428406
9.599999999999982,5357095.969818131,6.303796269652394,9898.217343741857
9.699999999999982,5624388.216982698,6.675235590818104,10392.191232960775
9.799999999999981,5905017.008012974,7.068053446637328,10910.811534440409
9.89999999999998,6199647.769625102,7.483458797553331,11455.307982300737
9.99999999999998,6508979.129994245,7.922728039012062,12026.971668226193
10.09999999999998,6833744.575341027,8.387208721827605,12627.158102900716
